代码,简称,日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%)
000985.CSI,中证全指,2005/1/4,--,995.341,995.341,982.593,984.398,1106523350,6429268155,--,--
000985.CSI,中证全指,2005/1/5,984.398,983.513,1000.139,983.23,997.134,1276698961,7531883702,12.736,1.2938
000985.CSI,中证全指,2005/1/6,997.134,997.624,997.624,984.555,987.528,1102655497,6515273213,-9.606,-0.9634
000985.CSI,中证全指,2005/1/7,987.528,986.91,1000.401,984.028,989.611,1264492253,7726490272,2.083,0.2109
000985.CSI,中证全指,2005/1/10,989.611,989.121,998.967,985.737,998.967,1055058618,6429718664,9.356,0.9454
000985.CSI,中证全指,2005/1/11,998.967,999.142,1003.403,994.984,1001.779,1093698825,6532362494,2.812,0.2815
000985.CSI,中证全指,2005/1/12,1001.779,998.795,1001.3,993.283,1001.3,1053580309,6093923120,-0.479,-0.0478
000985.CSI,中证全指,2005/1/13,1001.3,1000.534,1004.491,998.062,1002.702,1327428694,7998573181,1.402,0.14
000985.CSI,中证全指,2005/1/14,1002.702,1002.488,1009.075,992.085,992.284,1389950500,7830144460,-10.418,-1.039
000985.CSI,中证全指,2005/1/17,992.284,983.124,984.26,968.58,970.812,1498351694,8305820100,-21.472,-2.1639
000985.CSI,中证全指,2005/1/18,970.812,970.495,980.544,965.918,980.544,1483548572,8078482836,9.732,1.0025
000985.CSI,中证全指,2005/1/19,980.544,980.222,980.222,971.874,974.092,1354468759,7128202277,-6.452,-0.658
000985.CSI,中证全指,2005/1/20,974.092,970.523,970.523,957.806,962.024,1502328558,8312744972,-12.068,-1.2389
000985.CSI,中证全指,2005/1/21,962.024,960.481,984.274,948.657,984.274,2439454529,13397471259,22.25,2.3128
000985.CSI,中证全指,2005/1/24,984.274,996.023,1001.74,990.688,1001.43,2631210974,14751497584,17.156,1.743
000985.CSI,中证全指,2005/1/25,1001.43,998.963,998.963,986.735,997.723,1769581434,10395859189,-3.707,-0.3702
000985.CSI,中证全指,2005/1/26,997.723,993.67,997.4,987.812,988.751,1451011360,8364413136,-8.972,-0.8992
000985.CSI,中证全指,2005/1/27,988.751,986.565,986.565,972.954,973.29,1380597406,7679686764,-15.461,-1.5637
000985.CSI,中证全指,2005/1/28,973.29,973.29,973.424,959.529,962.246,1251732910,6666637118,-11.044,-1.1347
000985.CSI,中证全指,2005/1/31,962.246,958.52,958.52,940.515,941.299,1356927199,7182866544,-20.947,-2.1769
000985.CSI,中证全指,2005/2/1,941.299,939.16,949.896,936.215,937.55,1444451163,7653039134,-3.749,-0.3983
000985.CSI,中证全指,2005/2/2,937.55,937.728,987.942,937.728,987.942,2761289931,15673908445,50.392,5.3749
000985.CSI,中证全指,2005/2/3,987.942,986.846,992.521,971.652,972.193,2716085060,15303494014,-15.749,-1.5941
000985.CSI,中证全指,2005/2/4,972.193,971.321,995.414,969.442,992.605,2401501988,13934756349,20.412,2.0996
000985.CSI,中证全指,2005/2/16,992.605,998.382,1009.104,995.345,1000.771,1991863581,11467562008,8.166,0.8227
000985.CSI,中证全指,2005/2/17,1000.771,1001.047,1001.128,990.848,1001.128,1605655256,9003655796,0.357,0.0357
000985.CSI,中证全指,2005/2/18,1001.128,1000.784,1000.784,987.584,987.637,1520592990,8339025215,-13.491,-1.3476
000985.CSI,中证全指,2005/2/21,987.637,988.053,1006.17,988.053,1006.17,1783004071,10213281216,18.533,1.8765
000985.CSI,中证全指,2005/2/22,1006.17,1007.168,1029.663,1005.43,1029.043,3354199167,19335436515,22.873,2.2733
000985.CSI,中证全指,2005/2/23,1029.043,1029.421,1036.788,1023.127,1031.987,3563300056,20558383657,2.944,0.2861
000985.CSI,中证全指,2005/2/24,1031.987,1030.517,1034.488,1024.35,1034.488,2905258115,16843328090,2.501,0.2423
000985.CSI,中证全指,2005/2/25,1034.488,1035.006,1046.97,1035.006,1035.396,3409866643,20431658970,0.908,0.0878
000985.CSI,中证全指,2005/2/28,1035.396,1034.734,1036.567,1026.445,1030.365,2545751772,15264015301,-5.031,-0.4859
000985.CSI,中证全指,2005/3/1,1030.365,1029.835,1032.908,1022.139,1028.346,2176298886,12655009132,-2.019,-0.1959
000985.CSI,中证全指,2005/3/2,1028.346,1028.607,1035.857,1013.18,1013.528,2689854445,15913464013,-14.818,-1.441
000985.CSI,中证全指,2005/3/3,1013.528,1011.861,1019.6,1005.896,1019.344,1844783680,10532520698,5.816,0.5738
000985.CSI,中证全指,2005/3/4,1019.344,1019.484,1021.8,1012.578,1013.949,1603353617,9672657654,-5.395,-0.5293
000985.CSI,中证全指,2005/3/7,1013.949,1014.659,1020.035,1014.12,1019.025,1568382231,9652832457,5.076,0.5006
000985.CSI,中证全指,2005/3/8,1019.025,1021.655,1038.901,1021.655,1038.901,2581741312,16892907376,19.876,1.9505
000985.CSI,中证全指,2005/3/9,1038.901,1041.21,1044.1,1033.081,1038.784,2849521923,17655176663,-0.117,-0.0113
000985.CSI,中证全指,2005/3/10,1038.784,1038.849,1038.849,1011.085,1013.799,2498141488,15269360682,-24.985,-2.4052
000985.CSI,中证全指,2005/3/11,1013.799,1012.307,1019.086,1008.62,1018.754,2110488357,13473429260,4.955,0.4888
000985.CSI,中证全指,2005/3/14,1018.754,1018.512,1028.704,1004.778,1019.298,2640391851,17679779198,0.544,0.0534
000985.CSI,中证全指,2005/3/15,1019.298,1019.213,1019.213,1002.456,1003.893,2264067043,14484965579,-15.405,-1.5113
000985.CSI,中证全指,2005/3/16,1003.893,1002.443,1002.443,988.047,993.925,1948501013,12357595039,-9.968,-0.9929
000985.CSI,中证全指,2005/3/17,993.925,992.784,994.437,982.395,982.481,1873291415,11676174459,-11.444,-1.1514
000985.CSI,中证全指,2005/3/18,982.481,981.241,984.331,962.951,965.946,1824605577,11142894372,-16.535,-1.683
000985.CSI,中证全指,2005/3/21,965.946,964.441,969.136,959.202,968.006,1387836956,8469425177,2.06,0.2133
000985.CSI,中证全指,2005/3/22,968.006,967.333,967.333,942.422,946.215,2078555759,12133310208,-21.791,-2.2511
000985.CSI,中证全指,2005/3/23,946.215,944.887,958.077,938.143,942.915,1967611204,12077361865,-3.3,-0.3488
000985.CSI,中证全指,2005/3/24,942.915,941.489,950.122,933.271,950.122,1632575782,10508179460,7.207,0.7643
000985.CSI,中证全指,2005/3/25,950.122,949.81,952.075,945.326,948.206,1379277376,7847118678,-1.916,-0.2017
000985.CSI,中证全指,2005/3/28,948.206,946.896,946.896,931.472,943.827,1336856493,7640776089,-4.379,-0.4618
000985.CSI,中证全指,2005/3/29,943.827,943.407,950.575,937.942,938.151,1369937962,8089500990,-5.676,-0.6014
000985.CSI,中证全指,2005/3/30,938.151,935.81,935.81,915.908,916.088,1671298248,9403813910,-22.063,-2.3518
000985.CSI,中证全指,2005/3/31,916.088,914.122,922.096,907.656,922.096,1475542320,7882221101,6.008,0.6558
000985.CSI,中证全指,2005/4/1,922.096,921.396,965.146,915.718,955.985,2799248474,16079410329,33.889,3.6752
000985.CSI,中证全指,2005/4/4,955.985,947.015,949.818,938.849,939.433,2039521999,12022438056,-16.552,-1.7314
000985.CSI,中证全指,2005/4/5,939.433,937.84,942.452,930.958,932.209,1714476414,9933437407,-7.224,-0.769
000985.CSI,中证全指,2005/4/6,932.209,932.209,950.441,924.954,948.751,2509535694,15668532802,16.542,1.7745
000985.CSI,中证全指,2005/4/7,948.751,950.157,974.194,948.825,961.072,3604689654,21536285329,12.321,1.2987
000985.CSI,中证全指,2005/4/8,961.072,960.88,978.589,956.294,978.589,2754283720,15899694291,17.517,1.8227
000985.CSI,中证全指,2005/4/11,978.589,978.822,984.015,970.351,973.075,2962865947,17688955096,-5.514,-0.5635
000985.CSI,中证全指,2005/4/12,973.075,971.564,971.564,954.641,954.876,2005875449,11620109218,-18.199,-1.8703
000985.CSI,中证全指,2005/4/13,954.876,961.994,980.383,961.994,977.373,2906405537,16975749506,22.497,2.356
000985.CSI,中证全指,2005/4/14,977.373,980.42,980.42,962.576,963.445,2436328896,13854627850,-13.928,-1.425
000985.CSI,中证全指,2005/4/15,963.445,959.358,959.358,945.563,946.919,2144205137,12135231278,-16.526,-1.7153
000985.CSI,中证全指,2005/4/18,946.919,943.935,943.935,930.073,935.082,1710130759,9489127820,-11.837,-1.2501
000985.CSI,中证全指,2005/4/19,935.082,934.035,938.036,928.595,936.694,1699076226,9604059309,1.612,0.1724
